propinsi
Aceh
BABEL
Bali
"BANGKA BELITUNG"
Banten
BEKASI
Bengkulu
D.I.YOGYAKARTA
"Daerah Istimewa Yogyakarta"
"DI Yogyakarta"
"DKI Jakarta"
"DKI JAKARTA KOTA"
"DKI JAKARTA RAYA"
Gorontalo
IRIANJAYA
Jambi
"Jawa Barat"
"Jawa Tengah"
"Jawa Timur"
"Kalimantan Barat"
"Kalimantan Selatan"
"Kalimantan Tengah"
"Kalimantan Timur"
"Kepulauan Bangka Belitung"
"Kepulauan Riau"
Lampung
MADURA
Maluku
"Maluku Utara"
"Nusa Tenggara Barat"
"Nusa Tenggara Timur"
"NUSATENGGARA BARAT"
"NUSATENGGARA TIMUR"
Papua
"Papua Barat"
QWERTYUIOPASDFGHJKLZXCVBNM1234
Riau
"Sulawesi Barat"
"Sulawesi Selatan"
"Sulawesi Tengah"
"Sulawesi Tenggara"
"Sulawesi Utara"
"Sumatera Barat"
"Sumatera Selatan"
"SUMATERA TENGAH"
"Sumatera Utara"
"TIMOR TIMUR"
YOGYAKARTA
